Row Labels,Top 100 Singles,Highest Position
Donny & Marie Osmond,7,4
Fantasia,7,1
Freddy Fender,7,1
Donnie Iris,7,25
Gloria Lynne,7,28
The Chantels,7,14
Dan Hartman,7,6
Buckinghams,7,1
Brooklyn Bridge,7,3
Brownsville Station,7,3
Darryl Worley,7,22
Collective Soul,7,11
Chilliwack,7,22
Dennis Yost & The Classics IV,7,39
Chingy,7,2
Chris Montez,7,4
Dave 'Baby' Cortez,7,1
Dee Dee Warwick,7,41
Dave Mason,7,12
Brothers Four,7,2
Dave Matthews Band,8,16
Delaney & Bonnie,7,13
Creed,7,1
Deniece Williams,7,1
David Gates,7,15
Buchanan & Goodman,7,3
David Lee Roth,7,3
Browns,7,1
Danielle Bradbery,7,58
Arthur Conley,7,2
Ambrosia,7,3
Ashlee Simpson,7,5
April Wine,7,21
Billy Williams,7,3
Adele,7,1
Bobby Bare,7,10
98 Degrees,7,2
Big & Rich,7,36
Alanis Morissette,7,4
ABC,7,5
1910 Fruitgum Company,7,4
AC/DC,7,23
Beastie Boys,7,7
Ashanti,7,1
Beck,7,10
B.o.B.,7,1
Berlin,7,1
Audioslave,7,31
Al Hibbler,7,3
Barenaked Ladies,7,1
Betty Wright,7,6
Warren G,6,9
T.G. Sheppard,6,37
Tori Amos,6,49
Three 6 Mafia,6,13
Waka Flocka Flame,6,13
Zac Efron & Vanessa Anne Hudgens,6,4
will.i.am,6,3
Triumph,6,27
TKA,6,44
Tubes,6,10
Steve Perry,6,3
Ty Herndon,6,38
Stephen Bishop,6,11
Suzi Quatro,6,41
Webb Pierce,6,24
Syl Johnson,6,48
Winger,6,12
Tiffany,6,1
Vanilla Fudge,6,6
Surface,6,1
Rupert Holmes,6,1
Reba McEntire,6,35
Roy Clark,6,19
Ronnie Dyson,6,8
Simple Minds,6,1
Ratt,6,12
Soulja Boy Tell'em,6,1
Starz,6,33
Shep & The Limelites,6,2
Rose Royce,6,1
Shirley Ellis,6,3
Scorpions,6,4
Simple Plan,6,24
Rosemary Clooney,6,10
Roberta Flack & Donny Hathaway,6,2
Selena Gomez & The Scene,6,22
Robin Thicke,6,1
Shaggy,6,1
Sal Mineo,6,9
Samantha Fox,6,3
Santo & Johnny,6,1
Plies,6,7
Mint Condition,6,6
Puddle of Mudd,6,5
Puff Daddy,6,1
Player,6,1
Michelle Branch,6,6
Nina Simone,6,18
Mick Jagger,6,12
Peter Wolf,6,12
Percy Faith & His Orchestra,6,1
New Christy Minstrels,6,14
Maureen McGovern,6,1
Paul Carrack,6,9
Panic At The Disco,6,7
New Order,6,28
Papa Roach,6,15
Prince & The N.P.G.,6,1
Men At Work,6,1
Paul Petersen,6,6
Offspring,6,53
Musiq Soulchild,6,24
L.T.D.,6,4
Knack,6,1
Justin Moore,6,44
Len Barry,6,2
Jon B.,6,7
LFO,6,3
Manfred Mann's Earth Band,6,1
Lil Bow Wow,6,20
Mary Hopkin,6,2
Limp Bizkit,6,65
Julian Lennon,6,5
Lisa Stansfield,6,3
Lynn Anderson,6,3
Little Big Town,6,22
Manfred Mann,6,1
Lloyd,6,9
Mark Wills,6,23
LMFAO,6,1
Marques Houston,6,39
Lonely Island,6,30
Mary MacGregor,6,1
Kelly Rowland,6,17
Lost Boyz,6,33
Joey Dee & The Starliters,6,1
Jimmy McGriff,6,20
Great White,6,5
Jade,6,4
Grand Funk,6,1
Gym Class Heroes,6,4
J. Cole,6,13
James Carr,6,63
Gogi Grant,6,9
Hamilton, Joe Frank & Reynolds,6
Jody Miller,6,12
Jason Mraz,6,6
Joe South,6,12
The Grateful Dead,6,9
John Legend,6,24
Jennifer Warnes,6,6
Hootie & The Blowfish,6,10
Icehouse,6,7
H-Town,6,3
Garbage,6,24
Gilbert O'Sullivan,6,1
Gene Cotton,6,23
Exciters,6,4
Friends of Distinction,6,3
Dino, Desi & Billy,6
Gary Wright,6,2
Donell Jones,6,7
Erasure,6,12
Earl Grant,6,7
Freda Payne,6,3
Dickey Lee,6,6
Future,6,50
Faron Young,6,12
Gary 'U.S.' Bonds,6,5
Fine Young Cannibals,6,1
Gavin DeGraw,6,10
Five Americans,6,5
Gentrys,6,4
Five Satins,6,24
Gerry Rafferty,6,2
Florida Georgia Line,6,4
Fortunes,6,7
Eileen Rodgers,6,18
Detroit Emeralds,6,24
C & C Music Factory,6,1
Cyrkle,6,2
Dave Edmunds,6,4
Crusaders,6,36
Coolio,6,3
Chris Rea,6,12
Clarence 'Frogman' Henry,6,4
Buddy Holly,11,1
Cam'ron,6,3
David Carroll & His Orchestra,6,8
David Ruffin,6,9
